J,Ka,S_in,n,M,operator,denoiser,trials,E_required_dB,pmd,pfa,pmd_standard_error,pfa_standard_error,mean_iterations,converged_fraction,elapsed_seconds,seed,status,config_key
8,16,2.0,128,512,gaussian-blocks,or,1,nan,0.71875,0.00625,0.07948042948974923,0.0035971451353816685,8.0,0.0,0.0194091796875,12345,ceiling_reached,92884b5c7e711adc
8,16,3.0,85,512,gaussian-blocks,or,1,nan,0.8387096774193549,0.0,0.0660585650285281,0.0,8.0,0.0,0.014979124069213867,12345,ceiling_reached,326c295f0c5738a5
15,181,0.25,86880,262144,hadamard,or,10,nan,0.0,5.907170729892317e-05,0.0,4.75999322987339e-06,9.5,0.9,376.92338490486145,12345,ceiling_reached,cd57fc52be939500
15,181,0.25,86880,262144,hadamard,or,10,nan,0.0,5.907170729892317e-05,0.0,4.75999322987339e-06,9.5,0.9,131.52720713615417,12345,ceiling_reached,a8f02d9485c784c2
15,181,0.5,43440,262144,hadamard,or,10,nan,0.0,5.945528981385124e-05,0.0,4.7754218300234635e-06,5.0,1.0,260.75672912597656,12345,ceiling_reached,be6c44e8514e5920
15,181,0.5,43440,262144,hadamard,or,10,nan,0.0,5.945528981385124e-05,0.0,4.7754218300234635e-06,5.0,1.0,89.83969616889954,12345,ceiling_reached,69d4a6fa2bdb1903
15,181,0.75,28960,262144,hadamard,or,10,3.765625,0.0,5.523575502482349e-05,0.0,4.602852459120072e-06,8.0,1.0,175.2498540878296,12345,ok,7bddcb06f1a1b1f0
15,181,0.75,28960,262144,hadamard,or,10,3.765625,0.0,5.523575502482349e-05,0.0,4.602852459120072e-06,8.0,1.0,68.95885062217712,12345,ok,410dc0d44832f914
15,181,1.0,21720,262144,hadamard,or,10,nan,0.0,5.715405780384957e-05,0.0,4.682109047509106e-06,9.7,0.9,244.24189114570618,12345,ceiling_reached,9bb6f3f2e98087d9
15,181,1.0,21720,262144,hadamard,or,10,nan,0.0,5.715405780384957e-05,0.0,4.682109047509106e-06,9.7,0.9,94.33406281471252,12345,ceiling_reached,efba23a1880b6a85
15,181,1.25,17376,262144,hadamard,or,10,1.640625,0.0062318238471125885,5.024936727991353e-05,0.0006548418949629286,4.3901972972357375e-06,23.0,0.9,233.504132270813,12345,ok,4c042054e02694ac
15,181,1.25,17376,262144,hadamard,or,10,1.640625,0.0062318238471125885,5.024936727991353e-05,0.0006548418949629286,4.3901972972357375e-06,23.0,0.9,91.7502920627594,12345,ok,b5d97444e33567c1
15,181,1.5,14480,262144,hadamard,or,10,nan,6.92185228767218e-05,5.67703864183755e-05,6.921612723331076e-05,4.666364556757907e-06,14.8,0.8,295.8192219734192,12345,ceiling_reached,48d215b8040f5cc2
15,181,1.5,14480,262144,hadamard,or,10,nan,6.92185228767218e-05,5.67703864183755e-05,6.921612723331076e-05,4.666364556757907e-06,14.8,0.8,110.72530603408813,12345,ceiling_reached,a5210d581dc92537
15,181,1.75,12411,262144,hadamard,or,10,nan,0.0,5.446863354692454e-05,0.0,4.570781701245011e-06,7.1,1.0,271.10902190208435,12345,ceiling_reached,837ec5296ef4f580
15,181,1.75,12411,262144,hadamard,or,10,nan,0.0,5.446863354692454e-05,0.0,4.570781701245011e-06,7.1,1.0,94.6106379032135,12345,ceiling_reached,c3b9217958b7da44
15,181,2.0,10860,262144,hadamard,or,10,1.625,0.0060971385020439275,4.909844891095421e-05,0.0006479726792808125,4.339624233002108e-06,40.9,0.9,98.49240493774414,12345,ok,c091c2d7a0f3c0c0
